Video ID,Title,Comment
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",This iPhone 11 pro Max Gold is like that behind him have built one stove mouth.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Please sir give me this phone please
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I just can’t get past that ugly ass design of the cameras lol, what a lazy ass phone..."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Two moronic liberal
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Amazing how these guy are journalists and have been around forever but the unboxing isn’t good. Youtubers who have been around for few years are doing a better job
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Give me one iphone okay🙈 thanks 🙏
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Is it just me or the camera is also color blind hahahahshhwa
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",All apple users are uneducated like these dudes.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",My god this made me fall asleep.   Have they got a clue what a phone is
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Will Film Pro Work on the iPhone 11 recording your self & What's in Front of you like what's on the Pro
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",these guy are lost
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The 11 looks Bigger
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",ผมชอบสี่ทองมากครับทำคลิปดีๆเเบบนี้มาอีกนะครับfc Thailand
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",How’d they get it already
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Wait that can’t be green looks like more purple
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I don’t care what apple says that 11 is blue not green
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","In a year or two when the time comes to flip these iPhone Pro's I have the feeling midnight green will be harder to resell because the colour will be dated as opposed to Space Grey, Polished and Gold which are widely accepted as standard colours every year. For that reason and the fact I can polish stainless steel and not the others, I opted for the silver version."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Hideous
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",When did it come out
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The lighting in the room you guys are in is horrible
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Unprofessional
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","A bunch a mfs finna blow money on bull I remember I was 
Finna spend 750 on a XR didn’t have any in stock spent 200 on a pre owned 7 plus Nd I actually love the model better Nd I love the phone 💯"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Please never do another unboxing. This was awful.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Thank you for making this video- it revealed that the Matte finish looks like total dog shit on camera. I will be getting an iPhone 11 instead.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Stick to articles...    #NoShade
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Disliked and stopped the video at 1:30. These guys are fucking clueless.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","If you wont  admin rights , And can get cracked/hacked games go android. If you wont power and security go ios. Both phones are good i would take either one of them i just prefer the iPhone seance it has better data management. but gaming clearly goes to android.Also remember that there are not any mobile games that are op for these phones so ether one is bacily the same unless you brake the phone so just keep in mind the price to Samsung is definitely proud of it 300$ gap but is it worth it.( LIKE  FOR iPHONE, COMMENT FOR SAMSUNG)"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I’m getting the 11 and I feel like the 11 is bigger than the 11 pro and the 11 pro max
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Hey! Any chance for a giveaway?? :)
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",wasting the worlds materials on phones must be smart.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The 11 looks SO CHEAP!!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Good unboxing
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",These guys are clueless and the guy on the right yells too much!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I can’t believe I watched this SHIT unboxing video. Where they awake during the keynote? I think apple felt bad and let them review these to be “diverse” lol
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",That Gold looks so hot 🔥 🔥 hurry up Friday I need my pro max already.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Moron Alert🚨... Dumb n Dumber unboxing video
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","they don't know what they are doing lol, they seem so lost guys."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Screw $39 for a case when I can buy one on Amazon for $13 . . . .
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I don't like how the box is black, feels out of place."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I will stick with watching the ""good"" unboxing tech vids. No offense, the one person did not even seem educated on the product. :("
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I miss watching the Podcast on YouTube! Is it back yet?
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",4:58 WOOOO LMAOOOOOOO!!!!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Is this really a Macworld video?
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I don’t know about you guys but I already got used to the look of the camera on the pro models. I like it now.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The gold is actually very nice.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",These guys are boring as crap!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Macworld?? And every other word is ""I don't know we will test it lol"" how do apple guys know so little about apple products"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",My question is if you have the XS Max is it as good or worst than the iPhone 11 bc mine when I send texts it’s slow and I hate that. It changes the words I type? Why is that!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Can the 11 do slow motion? Please
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",One iPhone gift for me plzz ❤😻😻
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",As such a substantial Mac content curator I would at least expect you to know that the 18-watt usb-c block combined with the usb-c to lightning charger will go from empty to full in a little over an hour and that the 18-watt block has been sold separately for over a year. It was released after the new iPad Pro’s implemented it as a charger. Come on haha. Thanks for the unboxing! Eagerly awaiting for my midnight green max to arrive Friday
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",So when you get to go to a iPhone event they give away the phones when your leaving the event. Did i hear that correct.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Hahah


Whooooooo"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",you guys are really bad.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Clear looks cheap made
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Iphone 11 pro max 256gb in midnight green 💚😍😍😍😍😍 I'm sooo exited 😜
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Looking good guys 😎
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","u really get a great feeling of the colors in this video. unfortunate, that space grey is missing."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Apple: there’s no way we can get rid of the notch because then our Face ID won’t work properly.

Also Apple: let’s bring back dark mode so that on most applications the notch looks like it’s gone! 

Person at meeting: can we just make this in an update so people don’t have to waste almost $2,000 on a new device?

Apple: are you new here?"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I'm Red/Green color deficient, as well. The iPhone 11 looks more aqua green and the iPhone 11 Pro looks like Space Grey, with a tint of green. I'm getting the Silver iPhone 11 Pro Max and my wife is getting the Midnight Green iPhone 11 Pro Max."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Can you guys please test the digital zoom on the iPhone 11 (not pro). My wife always uses this. I want to know if you zoom to 2x digitally if the results are acceptable, or if it is as bad as the iPhone 7."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",For long
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","iPhone 11 pro has great colour and it’s more portable others  are kinda big. Have a question though what is the difference between iPhone 11,11pro,11pro max and previous ones have in keeping battery"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",This iphone really sucks. Horrible looks!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Is it blue
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Why does this feel like a soft porn video? 🤔
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Why no face up comparison? I’m thinking of going from XS to Pro Max
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",God bless Jesus the way repent seek the lord walk by faith blessed is the man who seeks the Lord
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Worst Unboxing EVER!! Mac guys that have zero clue, as to what is going on. SMH."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Oh sir please  give me one  iPhone
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",This is the sorriest iPhone unboxing I’ve seen this ‘iPhone season’.  Expected more from Macworld.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","But.. why buy a trasparent cover $45 or more? I understand the price of IPhone, but a simple trasparent cover on Wish or Amazon is better😂 just my opinion."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","How can you have a color blind guy comment on the colors of iPhones,
Not very professional, where is the girl that did the unboxing of the iPhone X, she was good. The color blind guy seems like he has no clue what he is talking about, he needs to 2 other people to explain everything to him.
Some people actually watch for advice,"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I think just skip the unboxing couse everychanel do this. 
Just riview this & deep in camera riview..  Couse this why we do capture & share ig / social apps"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Love all  the mate color, but not the design 😔"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I wish I can give a double 👎🏻👎🏻 negative for every goofy laugh I heard in this video 🙄🙄
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I think the gold in the video looks more rose gold or more like the pink sand color of accessories.  Is that just the lighting?  I’m hoping it is indeed a more rosie gold than last year obviously taking in consideration the frosting makes a difference also.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Of course no more dongle🙄🙄 and you guys sound so goofy every time ya opened every iPhone 🙄🙄👎🏻👎🏻
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Apple is now using the level of fast charge Android phones got back in 2016...
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",How much ram does the iphone pro max have?
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I want iphone 11 pro max but have no money...😞
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The Gold is still the best color in stainless steel!! I’m currently rocking the XS Max in gold!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Considering that they work for “Macworld” they seem awfully lost as to what Apple sells.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Those phones look stunning
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",You were given them by Apple!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",EXCELLENT WORK.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Three pills. Terrible design stupid design!!!
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",The midnight green looks very sexy. I got the gray instead because I didn’t know if I could deal with looking at the green color for the next year.
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Mine is comin in October 1st meanwhile I’m watching 24 min unboxing that can take 5 min in some youtubers
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","I thought this was fake for a few seconds. 😂 I was like, there’s no light blue iPhone 11...

Hahaha whoops."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",Battery -- in mah ... ??
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I don’t like that the box is black for iPhone 11 pro .
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","The greens is more like
Teal"
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","the camera man try not to move the camera next time, just FYI its better to use mount, its very annoying. but thanks for the unbox video though."
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing",I just farted and it smelt like tacos 🌮
bDRLR_bEox0,"iPhone 11, 11 Pro, 11 Pro Max: live unboxing","Oh man! I’d love to see a case review video, I’m on the fence on what to get this time around. Midnight green here as well 🙋🏻‍♂️"
